day,run_id,n_students,n_teachers,class_size_cap,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
12,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6109220205932969,0.44086082391093917,0.6044005910467334,0.7899778551563839,0.5628528970424479,0.3141319402896087,0.5476089004749081,0.8463405678558691,48,0.27499999999999997
13,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6255326815693714,0.46156035379863564,0.6215458776558205,0.7976610600752752,0.5727695637091144,0.32413194028960873,0.5576089004749081,0.8563405678558691,43,0.24566666666666667
14,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6392294622344962,0.4787673351103378,0.6352092367824718,0.803184720196272,0.5826862303757812,0.33413194028960874,0.5676089004749081,0.8663405678558691,46,0.26200000000000007
15,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6525173982224548,0.49647941198138956,0.6492267349212488,0.8101581461758106,0.5925748747248605,0.34413194028960875,0.5776089004749081,0.8763405678558691,46,0.26300000000000007
16,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6648979655459326,0.5148673590566751,0.6648114911197034,0.8162512750725885,0.6023248747248606,0.35413194028960876,0.5876089004749081,0.8863405678558691,51,0.28099999999999997
17,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6772400220309258,0.5358745424472131,0.6775819200434345,0.8213889092364314,0.6120748747248606,0.36413194028960877,0.5976089004749081,0.8963405678558691,47,0.26833333333333337
18,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6891804260027601,0.55672881681945,0.6911057982882349,0.8266697914464194,0.6218248747248605,0.3741319402896088,0.6076089004749081,0.9063405678558691,46,0.26233333333333336
19,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7008386911136424,0.5726490021790891,0.7041053305407334,0.8311319983258074,0.6315748747248605,0.3841319402896088,0.6176089004749081,0.9163405678558691,46,0.25766666666666665
20,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7116013741645155,0.5872535267847576,0.7132293688197839,0.8354886091442104,0.641127173526646,0.3941319402896088,0.6276089004749081,0.9263405678558692,49,0.2806666666666667
21,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7216906284201942,0.5987998288507621,0.7225104850354316,0.8399918166022107,0.6507555030402012,0.4041319402896088,0.6376089004749081,0.9363405678558692,54,0.29233333333333333
